feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanococcoides.s__Methanococcoides_burtonii	serv_alcohol	serv_alcohol	0.596912710107059	0.145820109064237	30	5	0.000326877795597513	0.532157051232751
d__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.s__Candidatus_Desulfovibrio_trichonymphae	serv_alcohol	serv_alcohol	0.65604315563723	0.156833814704045	30	10	0.000256750675284611	0.532157051232751
d__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Haloarculaceae.g__Halorientalis.s__Halorientalis_sp._IM1011	serv_alcohol	serv_alcohol	0.277119834768562	0.0851006992034962	30	4	0.00295119748372002	0.623079058664931
d__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_olleyae	serv_alcohol	serv_alcohol	0.322838865449781	0.0924423064510093	30	4	0.00160823051862124	0.623079058664931
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__Bacillus_oceanisediminis	serv_alcohol	serv_alcohol	0.494261202281862	0.137020346139904	30	7	0.00119153813293775	0.623079058664931
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_thermocatenulatus	serv_alcohol	serv_alcohol	0.211830048301818	0.0619498495044894	30	2	0.0019428654048942	0.623079058664931
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Listeriaceae.g__Listeria.s__Listeria_seeligeri	serv_alcohol	serv_alcohol	0.255744055435837	0.0800337836674598	30	3	0.00344454025060466	0.623079058664931
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Carnobacterium.s__Carnobacterium_sp._17.4	serv_alcohol	serv_alcohol	0.253883907974831	0.0783198511493284	30	3	0.00306397639362849	0.623079058664931
d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_estertheticum	serv_alcohol	serv_alcohol	0.709422293725272	0.212398623038324	30	8	0.00238308001047336	0.623079058664931
d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_sp._N6H1.15	serv_alcohol	serv_alcohol	0.995910454609399	0.307305193460448	30	30	0.003070545670033	0.623079058664931
