	Brisk	Brush	Chirp	Climb	Exalt	Fjord	Flair	Fluke	Heft	Hush	Joust	Kite	Knack	Latch	Meld	Mirth	Nifty	Quark	Riff	Shred	Spire	Tweak	Verve	Vexed	Vial	Whisk	Yawn	Yodel	Zest	Zoom
Brisk	0.0	0.637398373984	0.653791130186	0.654574132492	0.658901830283	0.653784219002	0.683417085427	0.654867256637	0.642743221691	0.621580547112	0.68882602546	0.656074766355	0.642301710731	0.665165165165	0.721666666667	0.627145085803	0.654664484452	0.708649468892	0.719576719577	0.622848200313	0.68215892054	0.652173913043	0.656050955414	0.667182662539	0.75	0.665584415584	0.686084142395	0.684563758389	0.688888888889	0.659226190476
Brush	0.637398373984	0.0	0.670028818444	0.646677471637	0.668918918919	0.676375404531	0.668977469671	0.647503782148	0.625412541254	0.65303030303	0.705128205128	0.674858223062	0.670295489891	0.676291793313	0.669626998224	0.665634674923	0.641891891892	0.686119873817	0.684014869888	0.636075949367	0.673343605547	0.650741350906	0.656910569106	0.670347003155	0.738703339882	0.675453047776	0.678868552413	0.679310344828	0.65780730897	0.645705521472
Chirp	0.653791130186	0.670028818444	0.0	0.688111888112	0.668161434978	0.661337209302	0.664110429448	0.619113573407	0.653237410072	0.644808743169	0.664907651715	0.711538461538	0.654494382022	0.654696132597	0.67701863354	0.640845070423	0.650297619048	0.637554585153	0.683441558442	0.642756680731	0.64606741573	0.6618287373	0.663309352518	0.640804597701	0.726495726496	0.668135095448	0.636778115502	0.661016949153	0.668128654971	0.643741403026
Climb	0.654574132492	0.646677471637	0.688111888112	0.0	0.643581081081	0.669329073482	0.718494271686	0.663235294118	0.638844301766	0.658753709199	0.737704918033	0.712230215827	0.673780487805	0.687407407407	0.694017094017	0.681203007519	0.65737704918	0.709284627093	0.733800350263	0.665144596651	0.674735249622	0.686614173228	0.687987519501	0.655172413793	0.774253731343	0.666123778502	0.686688311688	0.69397993311	0.703937007874	0.679411764706
Exalt	0.658901830283	0.668918918919	0.668161434978	0.643581081081	0.0	0.65641025641	0.676258992806	0.646781789639	0.662771285476	0.673374613003	0.691044776119	0.669980119284	0.666126418152	0.655448717949	0.652255639098	0.659127625202	0.623885918004	0.693311582382	0.707456978967	0.686708860759	0.660743134087	0.652397260274	0.691927512356	0.655058043118	0.721174004193	0.671256454389	0.672473867596	0.693950177936	0.668953687822	0.666144200627
Fjord	0.653784219002	0.676375404531	0.661337209302	0.669329073482	0.65641025641	0.0	0.667826086957	0.62980030722	0.626446280992	0.674140508221	0.724331926864	0.703153988868	0.663009404389	0.6421875	0.714285714286	0.68501529052	0.62905982906	0.707620528771	0.690166975881	0.637083993661	0.6578125	0.669381107492	0.685805422648	0.639158576052	0.732673267327	0.654362416107	0.68	0.661996497373	0.661129568106	0.685074626866
Flair	0.683417085427	0.668977469671	0.664110429448	0.718494271686	0.676258992806	0.667826086957	0.0	0.682316118936	0.658075601375	0.665071770335	0.685582822086	0.688888888889	0.683606557377	0.683279742765	0.669847328244	0.672131147541	0.683012259194	0.6740237691	0.685370741483	0.663366336634	0.647157190635	0.67530224525	0.670103092784	0.679465776294	0.691796008869	0.694444444444	0.670250896057	0.675324675325	0.698795180723	0.657512116317
Fluke	0.654867256637	0.647503782148	0.619113573407	0.663235294118	0.646781789639	0.62980030722	0.682316118936	0.0	0.621580547112	0.628205128205	0.651577503429	0.649825783972	0.655571635311	0.65	0.674718196457	0.659025787966	0.623824451411	0.646268656716	0.696666666667	0.649350649351	0.648843930636	0.655120481928	0.65671641791	0.614803625378	0.723707664884	0.634525660964	0.668711656442	0.656	0.665658093797	0.640625
Heft	0.642743221691	0.625412541254	0.653237410072	0.638844301766	0.662771285476	0.626446280992	0.658075601375	0.621580547112	0.0	0.647676161919	0.6618287373	0.689908256881	0.635220125786	0.684523809524	0.667832167832	0.655913978495	0.64958677686	0.686335403727	0.705565529623	0.630672926448	0.64496124031	0.644951140065	0.659744408946	0.645569620253	0.718199608611	0.658456486043	0.685667752443	0.688552188552	0.682182985554	0.64447806354
Hush	0.621580547112	0.65303030303	0.644808743169	0.658753709199	0.673374613003	0.674140508221	0.665071770335	0.628205128205	0.647676161919	0.0	0.639777468707	0.674698795181	0.658925979681	0.657142857143	0.672077922078	0.642857142857	0.638065522621	0.679355783309	0.717821782178	0.648766328012	0.63436123348	0.648401826484	0.662182361734	0.618181818182	0.73487544484	0.669207317073	0.670261941448	0.687106918239	0.687125748503	0.651558073654
Joust	0.68882602546	0.705128205128	0.664907651715	0.737704918033	0.691044776119	0.724331926864	0.685582822086	0.651577503429	0.6618287373	0.639777468707	0.0	0.733974358974	0.6456241033	0.668515950069	0.686520376176	0.649147727273	0.684830633284	0.634074074074	0.734920634921	0.682825484765	0.654390934844	0.654814814815	0.658357771261	0.678014184397	0.717543859649	0.698250728863	0.672180451128	0.653543307087	0.636778115502	0.664835164835
Kite	0.656074766355	0.674858223062	0.711538461538	0.712230215827	0.669980119284	0.703153988868	0.688888888889	0.649825783972	0.689908256881	0.674698795181	0.733974358974	0.0	0.659380692168	0.707903780069	0.653846153846	0.687279151943	0.692748091603	0.70652173913	0.691111111111	0.687279151943	0.698245614035	0.686679174484	0.697974217311	0.681238615665	0.721271393643	0.675048355899	0.679060665362	0.665979381443	0.672447013487	0.694017094017
Knack	0.642301710731	0.670295489891	0.654494382022	0.673780487805	0.666126418152	0.663009404389	0.683606557377	0.655571635311	0.635220125786	0.658925979681	0.6456241033	0.659380692168	0.0	0.667647058824	0.668930390492	0.647058823529	0.644588045234	0.656346749226	0.69877408056	0.671111111111	0.658682634731	0.655118110236	0.631160572337	0.653374233129	0.710476190476	0.646774193548	0.647634584013	0.646959459459	0.661904761905	0.651982378855
Latch	0.665165165165	0.676291793313	0.654696132597	0.687407407407	0.655448717949	0.6421875	0.683279742765	0.65	0.684523809524	0.657142857143	0.668515950069	0.707903780069	0.667647058824	0.0	0.697068403909	0.676811594203	0.690658499234	0.703812316716	0.713559322034	0.669096209913	0.676342525399	0.681818181818	0.663109756098	0.683357879234	0.733089579525	0.678516228748	0.660855784469	0.713385826772	0.649371069182	0.663805436338
Meld	0.721666666667	0.669626998224	0.67701863354	0.694017094017	0.652255639098	0.714285714286	0.669847328244	0.674718196457	0.667832167832	0.672077922078	0.686520376176	0.653846153846	0.668930390492	0.697068403909	0.0	0.675041876047	0.688729874776	0.683937823834	0.7	0.654761904762	0.683333333333	0.680776014109	0.649373881932	0.680341880342	0.696347031963	0.688729874776	0.640977443609	0.658301158301	0.669675090253	0.677524429967
Mirth	0.627145085803	0.665634674923	0.640845070423	0.681203007519	0.659127625202	0.68501529052	0.672131147541	0.659025787966	0.655913978495	0.642857142857	0.649147727273	0.687279151943	0.647058823529	0.676811594203	0.675041876047	0.0	0.661392405063	0.6328125	0.69109947644	0.644677661169	0.646176911544	0.637658227848	0.652173913043	0.655015197568	0.709433962264	0.657142857143	0.664536741214	0.711323763955	0.663522012579	0.633677991137
Nifty	0.654664484452	0.641891891892	0.650297619048	0.65737704918	0.623885918004	0.62905982906	0.683012259194	0.623824451411	0.64958677686	0.638065522621	0.684830633284	0.692748091603	0.644588045234	0.690658499234	0.688729874776	0.661392405063	0.0	0.69696969697	0.684410646388	0.648562300319	0.650159744409	0.670529801325	0.654485049834	0.653094462541	0.730223123732	0.648370497427	0.656303972366	0.651079136691	0.675585284281	0.664098613251
Quark	0.708649468892	0.686119873817	0.637554585153	0.709284627093	0.693311582382	0.707620528771	0.6740237691	0.646268656716	0.686335403727	0.679355783309	0.634074074074	0.70652173913	0.656346749226	0.703812316716	0.683937823834	0.6328125	0.69696969697	0.0	0.698555956679	0.674242424242	0.655384615385	0.679365079365	0.691107644306	0.647709320695	0.71062992126	0.684380032206	0.668316831683	0.675170068027	0.677938808374	0.650602409639
Riff	0.719576719577	0.684014869888	0.683441558442	0.733800350263	0.707456978967	0.690166975881	0.685370741483	0.696666666667	0.705565529623	0.717821782178	0.734920634921	0.691111111111	0.69877408056	0.713559322034	0.7	0.69109947644	0.684410646388	0.698555956679	0.0	0.722316865417	0.690559440559	0.678504672897	0.715827338129	0.687612208259	0.71359223301	0.71375464684	0.688461538462	0.697211155378	0.691729323308	0.70202020202
Shred	0.622848200313	0.636075949367	0.642756680731	0.665144596651	0.686708860759	0.637083993661	0.663366336634	0.649350649351	0.630672926448	0.648766328012	0.682825484765	0.687279151943	0.671111111111	0.669096209913	0.654761904762	0.644677661169	0.648562300319	0.674242424242	0.722316865417	0.0	0.635951661631	0.66511627907	0.633070866142	0.64471669219	0.749542961609	0.613114754098	0.668789808917	0.642016806723	0.692307692308	0.667146974063
Spire	0.68215892054	0.673343605547	0.64606741573	0.674735249622	0.660743134087	0.6578125	0.647157190635	0.648843930636	0.64496124031	0.63436123348	0.654390934844	0.698245614035	0.658682634731	0.676342525399	0.683333333333	0.646176911544	0.650159744409	0.655384615385	0.690559440559	0.635951661631	0.0	0.641390205371	0.662037037037	0.65243902439	0.718574108818	0.650159744409	0.693270735524	0.659468438538	0.662992125984	0.643171806167
Tweak	0.652173913043	0.650741350906	0.6618287373	0.686614173228	0.652397260274	0.669381107492	0.67530224525	0.655120481928	0.644951140065	0.648401826484	0.654814814815	0.686679174484	0.655118110236	0.681818181818	0.680776014109	0.637658227848	0.670529801325	0.679365079365	0.678504672897	0.66511627907	0.641390205371	0.0	0.675762439807	0.671924290221	0.707661290323	0.64586846543	0.673913043478	0.669565217391	0.668316831683	0.659574468085
Verve	0.656050955414	0.656910569106	0.663309352518	0.687987519501	0.691927512356	0.685805422648	0.670103092784	0.65671641791	0.659744408946	0.662182361734	0.658357771261	0.697974217311	0.631160572337	0.663109756098	0.649373881932	0.652173913043	0.654485049834	0.691107644306	0.715827338129	0.633070866142	0.662037037037	0.675762439807	0.0	0.687789799073	0.721893491124	0.676470588235	0.653198653199	0.657391304348	0.680713128039	0.648936170213
Vexed	0.667182662539	0.670347003155	0.640804597701	0.655172413793	0.655058043118	0.639158576052	0.679465776294	0.614803625378	0.645569620253	0.618181818182	0.678014184397	0.681238615665	0.653374233129	0.683357879234	0.680341880342	0.655015197568	0.653094462541	0.647709320695	0.687612208259	0.64471669219	0.65243902439	0.671924290221	0.687789799073	0.0	0.730916030534	0.657467532468	0.673701298701	0.653583617747	0.68927444795	0.659763313609
Vial	0.75	0.738703339882	0.726495726496	0.774253731343	0.721174004193	0.732673267327	0.691796008869	0.723707664884	0.718199608611	0.73487544484	0.717543859649	0.721271393643	0.710476190476	0.733089579525	0.696347031963	0.709433962264	0.730223123732	0.71062992126	0.71359223301	0.749542961609	0.718574108818	0.707661290323	0.721893491124	0.730916030534	0.0	0.719836400818	0.732510288066	0.707692307692	0.716904276986	0.720508166969
Whisk	0.665584415584	0.675453047776	0.668135095448	0.666123778502	0.671256454389	0.654362416107	0.694444444444	0.634525660964	0.658456486043	0.669207317073	0.698250728863	0.675048355899	0.646774193548	0.678516228748	0.688729874776	0.657142857143	0.648370497427	0.684380032206	0.71375464684	0.613114754098	0.650159744409	0.64586846543	0.676470588235	0.657467532468	0.719836400818	0.0	0.67461669506	0.655913978495	0.668907563025	0.6453125
