	Brisk	Brush	Chirp	Climb	Exalt	Fjord	Flair	Fluke	Heft	Hush	Joust	Kite	Knack	Latch	Meld	Mirth	Nifty	Quark	Riff	Shred	Spire	Tweak	Verve	Vexed	Vial	Whisk	Yawn	Yodel	Zest	Zoom
Brisk	0.0	0.326681191527	0.436168428116	0.485715492303	0.436780933341	0.364507806173	0.629726761625	0.37671382803	0.385279079676	0.334606569901	0.445655895763	0.687158151984	0.39574877163	0.42223051874	0.577785806762	0.447192365645	0.252853298692	0.506309737157	0.570757460516	0.414298054379	0.445859539697	0.304868026223	0.324821674759	0.404922788306	0.6374494099	0.28096226301	0.492062270287	0.570030288538	0.415082506957	0.413599500936
Brush	0.326681191527	0.0	0.457320730522	0.538692211579	0.459347548469	0.393191964286	0.670828603859	0.447931806576	0.332151818772	0.469436343075	0.500765805877	0.686160939414	0.437333943308	0.485206858452	0.626842756421	0.447775398525	0.374949583837	0.584281473013	0.570162743303	0.451007446787	0.495986771849	0.333094258427	0.356142772629	0.459556929418	0.704784130688	0.349783274347	0.386220262978	0.630452272405	0.511521272273	0.489784831952
Chirp	0.436168428116	0.457320730522	0.0	0.51261894911	0.498201157516	0.42621025433	0.516797895468	0.39376577314	0.583483159535	0.471429885904	0.431642251976	0.744917885841	0.434170975111	0.535607848747	0.651539331073	0.355614297207	0.47260317127	0.432322719777	0.501636970864	0.400217227049	0.424452833141	0.454344096762	0.467096096302	0.457767207938	0.608643292158	0.417475728155	0.498260279668	0.631385051364	0.591652515864	0.43843199277
Climb	0.485715492303	0.538692211579	0.51261894911	0.0	0.633064697672	0.441161290323	0.635544936593	0.611215467082	0.605059422068	0.561272975917	0.658539578646	0.793193338161	0.611482056765	0.652184361032	0.719658348237	0.499351491569	0.565029818551	0.560603802508	0.649981804347	0.470290079242	0.621048072759	0.57539040287	0.586881472957	0.577045320777	0.74935616343	0.517358367802	0.538705695645	0.691863676044	0.653949175051	0.507055503293
Exalt	0.436780933341	0.459347548469	0.498201157516	0.633064697672	0.0	0.579163510227	0.631733021077	0.420914701158	0.53568953569	0.447964961008	0.444740447557	0.54676554166	0.317516671363	0.513693789204	0.589220179874	0.506554507024	0.49124597629	0.559676877802	0.642554120656	0.457940242968	0.493279471172	0.540660942815	0.520164713873	0.48539317616	0.528892455859	0.443721089601	0.473138894554	0.496630040306	0.545301420283	0.45308587801
Fjord	0.364507806173	0.393191964286	0.42621025433	0.441161290323	0.579163510227	0.0	0.535162094763	0.493703688707	0.50285745191	0.447415256838	0.521801208127	0.76689990425	0.500153670927	0.483464966001	0.664434852899	0.500654182681	0.427790140686	0.395435314652	0.432274828534	0.488348721814	0.521985213485	0.399518091019	0.448099207156	0.501780991007	0.695480652086	0.374912863411	0.440439852861	0.633527824021	0.494767476628	0.489012469683
Flair	0.629726761625	0.670828603859	0.516797895468	0.635544936593	0.631733021077	0.535162094763	0.0	0.575701521709	0.730730999227	0.636117127111	0.460441317557	0.764206082195	0.561710137134	0.704219745223	0.644623487622	0.527892162039	0.613889982933	0.409690031178	0.342653567959	0.561977978553	0.589839870904	0.621538772485	0.651558669002	0.559548127515	0.7922801057	0.597346693952	0.692229489308	0.689113082358	0.590164781239	0.655769664881
Fluke	0.37671382803	0.447931806576	0.39376577314	0.611215467082	0.420914701158	0.493703688707	0.575701521709	0.0	0.47722478764	0.331450789582	0.321296153252	0.71297221667	0.376636743096	0.379212725802	0.508330543199	0.427696982852	0.291231566361	0.399474560295	0.582275683526	0.547565509718	0.348953289131	0.363049201909	0.329492490937	0.304990346057	0.508283799165	0.378113569065	0.484314781816	0.543312155866	0.445362524038	0.394727832934
Heft	0.385279079676	0.332151818772	0.583483159535	0.605059422068	0.53568953569	0.50285745191	0.730730999227	0.47722478764	0.0	0.368437212158	0.511052731641	0.721630058779	0.527450377507	0.454638910306	0.533112390255	0.548259660562	0.351239889788	0.642282527084	0.661985221036	0.537417634139	0.544899359178	0.334076904792	0.265190102825	0.384540949966	0.708405166698	0.422417937427	0.480390893866	0.569431643625	0.483968836617	0.499954594987
Hush	0.334606569901	0.469436343075	0.471429885904	0.561272975917	0.447964961008	0.447415256838	0.636117127111	0.331450789582	0.368437212158	0.0	0.377840188793	0.733758988346	0.411194087305	0.362820192286	0.534640733001	0.539893325139	0.304838027744	0.500526827687	0.682320925569	0.560194568302	0.431375867321	0.33782351107	0.282002050924	0.295822165576	0.520455056721	0.301627144021	0.503340244183	0.501213384831	0.419483016449	0.434199989323
Joust	0.445655895763	0.500765805877	0.431642251976	0.658539578646	0.444740447557	0.521801208127	0.460441317557	0.321296153252	0.511052731641	0.377840188793	0.0	0.703649946638	0.392891184167	0.460678674815	0.525170328296	0.463298639535	0.418832106251	0.471968638269	0.484806952059	0.548700975016	0.42560412707	0.422714105326	0.416983326871	0.371370558376	0.569878472222	0.405441325932	0.511832218027	0.509189088249	0.39555149647	0.485246129279
Kite	0.687158151984	0.686160939414	0.744917885841	0.793193338161	0.54676554166	0.76689990425	0.764206082195	0.71297221667	0.721630058779	0.733758988346	0.703649946638	0.0	0.640407001325	0.749519833648	0.734817514653	0.700841065039	0.70298961716	0.767416683735	0.756644142768	0.685434014635	0.755787373758	0.736689168045	0.730886095473	0.748407159146	0.805782238273	0.705335382418	0.688433478645	0.584137468394	0.726675986142	0.679016718617
Knack	0.39574877163	0.437333943308	0.434170975111	0.611482056765	0.317516671363	0.500153670927	0.561710137134	0.376636743096	0.527450377507	0.411194087305	0.392891184167	0.640407001325	0.0	0.517401392111	0.582371794872	0.452422627864	0.468475373893	0.506830160267	0.576363925101	0.42576127154	0.353508580631	0.448610983772	0.460957082448	0.389692722011	0.597357978001	0.393909001485	0.461139513852	0.52288125154	0.539481592787	0.480907682493
